id,product,amount,category,date,region
1,Laptop,1500.0,Electronics,2024-01-05,North
2,Phone,800.0,Electronics,2024-01-07,South
3,Desk,320.0,Furniture,2024-01-10,North
4,Chair,150.0,Furniture,2024-01-12,East
5,Tablet,600.0,Electronics,2024-01-15,West
6,Monitor,450.0,Electronics,2024-01-18,North
7,Keyboard,80.0,Accessories,2024-01-20,South
8,Mouse,40.0,Accessories,2024-01-22,East
9,Headphones,200.0,Electronics,2024-02-01,West
10,Webcam,120.0,Accessories,2024-02-03,North
11,Laptop,1550.0,Electronics,2024-02-05,South
12,Phone,790.0,Electronics,2024-02-08,East
13,Desk,310.0,Furniture,2024-02-10,North
14,Chair,160.0,Furniture,2024-02-12,West
15,Tablet,620.0,Electronics,2024-02-15,South
16,Monitor,470.0,Electronics,2024-03-01,North
17,Keyboard,85.0,Accessories,2024-03-05,East
18,Headphones,210.0,Electronics,2024-03-10,West
19,Laptop,1480.0,Electronics,2024-03-12,North
20,Phone,810.0,Electronics,2024-03-15,South
